openalex_snapshot_date,peeringdb_rec_snapshot_date,period,iso_i,iso_j,association_strength,log1p_association_strength,knowledge_edge_present,inverse_ubiquity_weighted_shared_asns,shared_asn_count,shared_rec_any,shared_rec_count,shared_recs,shared_rec_any_2021,shared_rec_count_2021,shared_recs_2021,rec_tie_changed_2021_to_2025,distance_capital_km,contiguous_border,common_official_language,member_asn_geometric_mean,gdp_geometric_mean,log_member_asn_geometric_mean
2026-07-14,2026-07-15,current_2021_2025,BJ,TG,33.91278904041708,3.552853210232143,1,0.06451612903225806,2,1,2,CEN-SAD|ECOWAS,1,2,CEN-SAD|ECOWAS,0,162.8375244140625,1,1,6.708203932499369,17090742912.847254,1.90333124488516
2026-07-14,2026-07-15,current_2021_2025,BJ,TN,0.0,0.0,0,0.06451612903225806,2,1,1,CEN-SAD,1,1,CEN-SAD,0,3459.53173828125,0,1,4.47213595499958,37585088609.54601,1.4978661367769956
2026-07-14,2026-07-15,current_2021_2025,BJ,UG,0.0,0.0,0,0.06451612903225806,2,0,0,,0,0,,0,3379.489990234375,0,0,11.180339887498949,39022685355.409225,2.4141568686511508
2026-07-14,2026-07-15,current_2021_2025,BJ,ZM,0.0,0.0,0,0.06451612903225806,2,0,0,,0,0,,0,3724.4501953125,0,0,7.745966692414834,26635943295.031166,2.04717228111105
2026-07-14,2026-07-15,current_2021_2025,BJ,ZW,0.0,0.0,0,0,0,0,0,,0,0,,0,4120.818359375,0,0,3.1622776601683795,35470904485.6512,1.151292546497023
2026-07-14,2026-07-15,current_2021_2025,BW,BF,0.0,0.0,0,0,0,0,0,,0,0,,0,5099.67822265625,0,0,4.0,23464228955.50373,1.3862943611198906
2026-07-14,2026-07-15,current_2021_2025,BW,BI,0.040999860728345584,0.040181655846411334,1,0,0,0,0,,0,0,,0,2407.702880859375,0,0,3.0,8188628237.130158,1.0986122886681098
2026-07-14,2026-07-15,current_2021_2025,BW,CV,,,0,0,0,0,0,,0,0,,0,6946.3525390625,0,0,2.23606797749979,7804742020.528854,0.8047189562170503
2026-07-14,2026-07-15,current_2021_2025,BW,CM,4.34801878538943,1.6767261718343933,1,0,0,0,0,,0,0,,0,3543.86572265625,0,1,4.123105625617661,34270310013.02272,1.416606672028108
2026-07-14,2026-07-15,current_2021_2025,BW,TD,0.0,0.0,0,0,0,0,0,,0,0,,0,4276.9404296875,0,0,3.0,20686250599.99607,1.0986122886681098
2026-07-14,2026-07-15,current_2021_2025,BW,CG,0.0,0.0,0,0,0,0,0,,0,0,,0,2553.8798828125,0,0,3.0,18026825081.233067,1.0986122886681098
2026-07-14,2026-07-15,current_2021_2025,BW,CD,0.0,0.0,0,0,0,1,1,SADC,1,1,SADC,0,2543.994384765625,0,0,5.477225575051661,42592254085.982704,1.7005986908310777
2026-07-14,2026-07-15,current_2021_2025,BW,CI,0.0,0.0,0,0,0,0,0,,0,0,,0,4876.30859375,0,0,3.7416573867739413,44590753442.88147,1.3195286648076292
2026-07-14,2026-07-15,current_2021_2025,BW,DJ,0.0,0.0,0,0,0,0,0,,0,0,,0,4457.62353515625,0,0,4.47213595499958,9599995546.724731,1.4978661367769956
2026-07-14,2026-07-15,current_2021_2025,BW,EG,0.07677453555752162,0.07397003137231409,1,0,0,0,0,,0,0,,0,6125.71435546875,0,0,6.164414002968976,85316877192.04083,1.8187930798631928
2026-07-14,2026-07-15,current_2021_2025,BW,ET,2.410977945396071,1.2269990376859286,1,0,0,0,0,,0,0,,0,4014.6396484375,0,1,1.7320508075688772,50181051904.83448,0.5493061443340548
2026-07-14,2026-07-15,current_2021_2025,BW,GA,0.0,0.0,0,0,0,0,0,,0,0,,0,3314.66650390625,0,0,2.8284271247461903,20664218239.540344,1.039720770839918
2026-07-14,2026-07-15,current_2021_2025,BW,GM,0.0,0.0,0,0,0,0,0,,0,0,,0,6280.6357421875,0,1,1.4142135623730951,7189435288.717206,0.3465735902799727
2026-07-14,2026-07-15,current_2021_2025,BW,GH,0.0,0.0,0,0,0,0,0,,0,0,,0,4404.97021484375,0,1,6.244997998398398,47707754032.35969,1.8317808230648231
2026-07-14,2026-07-15,current_2021_2025,BW,GN,0.0,0.0,0,0,0,0,0,,0,0,,0,5911.77001953125,0,0,2.0,23767481625.626015,0.6931471805599453
2026-07-14,2026-07-15,current_2021_2025,BW,KE,1.612136747314649,0.9601685635333173,1,0,0,0,0,,0,0,,0,2863.550048828125,0,1,13.076696830622021,52049044520.38663,2.57083177825133
2026-07-14,2026-07-15,current_2021_2025,BW,LS,3.790354919101006,1.5666045045235837,1,0,0,1,1,SADC,1,1,SADC,0,531.4463500976562,0,1,1.7320508075688772,7161521908.965747,0.5493061443340548
2026-07-14,2026-07-15,current_2021_2025,BW,MG,0.0,0.0,0,0,0,1,1,SADC,1,1,SADC,0,2321.259765625,0,0,2.23606797749979,19773815767.021393,0.8047189562170503
2026-07-14,2026-07-15,current_2021_2025,BW,MW,2.317174926777654,1.1991134950162594,1,0,0,1,1,SADC,1,1,SADC,0,1457.9691162109375,0,1,3.4641016151377544,17242348344.162178,1.2424533248940002
2026-07-14,2026-07-15,current_2021_2025,BW,ML,0.0,0.0,0,0,0,0,0,,0,0,,0,5558.01171875,0,0,2.23606797749979,24479224278.58378,0.8047189562170503
2026-07-14,2026-07-15,current_2021_2025,BW,MU,0.0,0.0,0,0,0,1,1,SADC,1,1,SADC,0,3281.0166015625,0,1,4.58257569495584,17944371849.240166,1.5222612188617115
2026-07-14,2026-07-15,current_2021_2025,BW,MA,0.13339916858780307,0.1252212311972658,1,0,0,0,0,,0,0,,0,7402.95361328125,0,0,2.449489742783178,60286329931.09787,0.8958797346140274
2026-07-14,2026-07-15,current_2021_2025,BW,MZ,0.0,0.0,0,0,0,1,1,SADC,1,1,SADC,0,683.9497680664062,0,0,4.242640687119285,21098870201.711353,1.4451858789480823
2026-07-14,2026-07-15,current_2021_2025,BW,NA,3.743208315730952,1.5567137665995143,1,0,0,1,1,SADC,1,1,SADC,0,930.8639526367188,1,1,2.449489742783178,17335751056.294815,0.8958797346140274
2026-07-14,2026-07-15,current_2021_2025,BW,NG,0.7707117210051782,0.5713815680271004,1,0,0,0,0,,0,0,,0,4289.6162109375,0,1,12.36931687685298,76125485689.20277,2.5152189606962176
2026-07-14,2026-07-15,current_2021_2025,BW,RW,0.6006561030017719,0.4704136095684241,1,0,0,0,0,,0,0,,0,2578.330322265625,0,1,3.872983346207417,18062993169.031975,1.354025100551105
2026-07-14,2026-07-15,current_2021_2025,BW,SN,0.0,0.0,0,0,0,0,0,,0,0,,0,6432.05126953125,0,0,2.23606797749979,27156656851.575184,0.8047189562170503
2026-07-14,2026-07-15,current_2021_2025,BW,SL,0.0,0.0,0,0,0,0,0,,0,0,,0,5636.54052734375,0,1,2.23606797749979,12196283053.331787,0.8047189562170503
2026-07-14,2026-07-15,current_2021_2025,BW,ZA,2.115598803172869,1.136421365923407,1,1.0,1,1,1,SADC,1,1,SADC,0,256.2495422363281,1,1,25.199206336708304,92266647432.13197,3.226812499446346
2026-07-14,2026-07-15,current_2021_2025,BW,SD,0.0,0.0,0,0,0,0,0,,0,0,,0,4542.51171875,0,0,2.0,34625855227.060555,0.6931471805599453
2026-07-14,2026-07-15,current_2021_2025,BW,TZ,0.0,0.0,0,0,0,1,1,SADC,1,1,SADC,0,2318.318115234375,0,1,6.557438524302,42384228723.614624,1.8806000578467812
2026-07-14,2026-07-15,current_2021_2025,BW,TG,0.0,0.0,0,0,0,0,0,,0,0,,0,4350.4033203125,0,0,3.0,15393135167.441645,1.0986122886681098
2026-07-14,2026-07-15,current_2021_2025,BW,TN,0.0,0.0,0,0,0,0,0,,0,0,,0,7049.21337890625,0,0,2.0,33851796390.43722,0.6931471805599453
2026-07-14,2026-07-15,current_2021_2025,BW,UG,0.5960769567612015,0.4675487163871975,1,0,0,0,0,,0,0,,0,2882.7373046875,0,1,5.0,35146597976.195786,1.6094379124341003
2026-07-14,2026-07-15,current_2021_2025,BW,ZM,0.24605047536831465,0.21997892947117276,1,0,0,1,1,SADC,1,1,SADC,0,1061.9307861328125,1,1,3.4641016151377544,23990219591.0113,1.2424533248940002
2026-07-14,2026-07-15,current_2021_2025,BW,ZW,4.135853046952283,1.6362459536247913,1,0,0,1,1,SADC,1,1,SADC,0,935.6708374023438,1,1,1.4142135623730951,31947612227.47093,0.3465735902799727
2026-07-14,2026-07-15,current_2021_2025,BF,BI,8.859874156005413,2.28847340545048,1,0.17562724014336917,3,0,0,,0,0,,0,3846.390869140625,0,1,12.0,9641470364.798826,2.4849066497880004
2026-07-14,2026-07-15,current_2021_2025,BF,CV,,,0,0,0,0,0,,1,1,ECOWAS,1,2378.052978515625,0,0,8.94427190999916,9189474319.352102,2.191013317336941
2026-07-14,2026-07-15,current_2021_2025,BF,CM,4.137930566311446,1.6366503848383898,1,0.21836228287841192,4,0,0,,0,0,,0,1731.3311767578125,0,1,16.492422502470642,40350614146.18902,2.802901033147999
2026-07-14,2026-07-15,current_2021_2025,BF,TD,2.860748976050706,1.3508611999006328,1,0.06451612903225806,2,1,1,CEN-SAD,1,1,CEN-SAD,0,1810.7427978515625,0,1,12.0,24356444857.797474,2.4849066497880004
2026-07-14,2026-07-15,current_2021_2025,BF,CG,0.0,0.0,0,0.15542521994134897,3,0,0,,0,0,,0,2625.84423828125,0,1,12.0,21225178962.701782,2.4849066497880004
2026-07-14,2026-07-15,current_2021_2025,BF,CD,5.522089176290907,1.8751947504246638,1,0.5870491515652806,7,0,0,,0,0,,0,2636.322998046875,0,1,21.908902300206645,50149053498.11116,3.0868930519509683
2026-07-14,2026-07-15,current_2021_2025,BF,CI,7.253124245423561,2.1105918250741773,1,0.15542521994134897,3,1,1,CEN-SAD,1,2,CEN-SAD|ECOWAS,1,730.5238037109375,1,1,14.966629547095765,52502130444.0444,2.7058230259275198
2026-07-14,2026-07-15,current_2021_2025,BF,DJ,0.0,0.0,0,0.23118279569892472,3,1,1,CEN-SAD,1,1,CEN-SAD,0,4874.62646484375,0,1,17.88854381999832,11303245169.472456,2.884160497896886
2026-07-14,2026-07-15,current_2021_2025,BF,EG,0.9149233779060101,0.6496776102947949,1,0.06451612903225806,2,1,1,CEN-SAD,1,1,CEN-SAD,0,3921.32470703125,0,0,24.657656011875904,100453961181.72409,3.2050874409830836
2026-07-14,2026-07-15,current_2021_2025,BF,ET,0.0,0.0,0,0,0,0,0,,0,0,,0,4440.4140625,0,0,6.928203230275509,59084270381.342384,1.9356005054539454
2026-07-14,2026-07-15,current_2021_2025,BF,GA,0.0,0.0,0,0.15542521994134897,3,0,0,,0,0,,0,1807.282958984375,0,1,11.313708498984761,24330503473.6915,2.4260151319598084
2026-07-14,2026-07-15,current_2021_2025,BF,GM,0.0,0.0,0,0,0,1,1,CEN-SAD,1,2,CEN-SAD|ECOWAS,1,1630.168212890625,0,0,5.656854249492381,8464998687.020507,1.7328679513998633
2026-07-14,2026-07-15,current_2021_2025,BF,GH,0.579050337052838,0.4568236138362067,1,0.5998696643857934,5,1,1,CEN-SAD,1,2,CEN-SAD|ECOWAS,1,770.8591918945312,1,0,24.979991993593593,56172155256.53327,3.218075184184714
2026-07-14,2026-07-15,current_2021_2025,BF,GN,0.0,0.0,0,0.06451612903225806,2,1,1,CEN-SAD,1,2,CEN-SAD|ECOWAS,1,1566.784423828125,0,1,8.0,27984353801.81388,2.0794415416798357
2026-07-14,2026-07-15,current_2021_2025,BF,KE,4.947053848721307,1.7828959454541546,1,0.42038248489861396,6,0,0,,0,0,,0,4515.80859375,0,0,52.306787322488084,61283685829.5666,3.9571261393712205
2026-07-14,2026-07-15,current_2021_2025,BF,LS,0.0,0.0,0,0,0,0,0,,0,0,,0,5593.64453125,0,0,6.928203230275509,8432132861.895518,1.9356005054539454
2026-07-14,2026-07-15,current_2021_2025,BF,MG,0.0,0.0,0,0.21836228287841192,4,0,0,,0,0,,0,6414.19873046875,0,1,8.94427190999916,23282124086.70106,2.191013317336941
