protocol_version,country_code,iso3,country,mother_sample_55,network_primary_covered,time_core31_flag,resource_period,research_activity_fractional,research_activity_state,research_activity_pct_layer55,research_activity_pct_common39,research_activity_ai_works_sens,research_activity_ai_works_pct_layer55_sens,research_activity_ai_works_pct_common39_sens,technical_snapshot_date,technical_inverse_ubiquity_weighted_degree,technical_state,technical_pct_common39,technical_raw_shared_asn_degree_sens,ixp_count_aux,unique_member_asns_aux,technical_missing_reason,knowledge_period,knowledge_fractional_weighted_degree,knowledge_state,knowledge_pct_layer55,knowledge_pct_common39,knowledge_partner_count_aux,tech_knowledge_signed_gap_common39,tech_knowledge_abs_gap_common39,main_figure_sort_order
v1.0,LS,LSO,Lesotho,1,1,0,current_2021_2025,5.033333333333333,Observed positive,20.37037037037037,7.894736842105263,9,19.444444444444443,7.894736842105263,2026-07-15,2,Observed positive,26.31578947368421,2,1,3,,current_2021_2025,5.066666666666666,Observed positive,40.74074074074074,28.94736842105263,5,-2.6315789473684212,2.6315789473684212,44
v1.0,GN,GIN,Guinea,1,1,1,current_2021_2025,5,Observed positive,18.51851851851852,5.2631578947368425,7,13.88888888888889,3.9473684210526314,2026-07-15,1.9999999999999987,Observed positive,17.105263157894736,62,1,4,,current_2021_2025,2,Observed positive,23.14814814814815,14.473684210526315,2,2.6315789473684212,2.6315789473684212,45
v1.0,CF,CAF,Central African Republic,1,0,0,current_2021_2025,4.916666666666666,Observed positive,16.666666666666668,,9,19.444444444444443,,2026-07-15,,Not observed,,,0,0,No PeeringDB IXP record (not proof of real-world absence),current_2021_2025,3.1666666666666665,Observed positive,29.62962962962963,,4,,,46
v1.0,ER,ERI,Eritrea,1,0,0,current_2021_2025,4.833333333333333,Observed positive,14.814814814814815,,8,16.666666666666668,,2026-07-15,,Not observed,,,0,0,No PeeringDB IXP record (not proof of real-world absence),current_2021_2025,0.2,Observed positive,11.11111111111111,,3,,,47
v1.0,CV,CPV,Cabo Verde,1,1,0,current_2021_2025,4.166666666666666,Observed positive,12.962962962962964,2.6315789473684212,7,13.88888888888889,3.9473684210526314,2026-07-15,0,Observed zero,2.6315789473684212,0,1,5,,current_2021_2025,0,Observed zero,4.62962962962963,0,0,2.6315789473684212,2.6315789473684212,48
v1.0,SC,SYC,Seychelles,1,0,0,current_2021_2025,1.7,Observed positive,11.11111111111111,,4,10.185185185185185,,2026-07-15,,Not observed,,,0,0,No PeeringDB IXP record (not proof of real-world absence),current_2021_2025,1,Observed positive,15.74074074074074,,1,,,49
v1.0,DJ,DJI,Djibouti,1,1,1,current_2021_2025,1.4999999999999998,Observed positive,9.25925925925926,0,4,10.185185185185185,0,2026-07-15,14.999999999999996,Observed positive,86.84210526315789,114,1,20,,current_2021_2025,0.3333333333333333,Observed positive,12.962962962962964,2.6315789473684212,1,84.21052631578947,84.21052631578947,50
v1.0,ST,STP,Sao Tome and Principe,1,0,0,current_2021_2025,1.3333333333333333,Observed positive,7.407407407407407,,2,6.481481481481482,,2026-07-15,,Not observed,,,0,0,No PeeringDB IXP record (not proof of real-world absence),current_2021_2025,0,Observed zero,4.62962962962963,,0,,,51
v1.0,GW,GNB,Guinea-Bissau,1,0,0,current_2021_2025,0.8333333333333333,Observed positive,5.555555555555555,,2,6.481481481481482,,2026-07-15,,Not observed,,,0,0,No PeeringDB IXP record (not proof of real-world absence),current_2021_2025,0,Observed zero,4.62962962962963,,0,,,52
v1.0,EH,ESH,Sahrawi Arab Democratic Republic / Western Sahara,1,0,0,current_2021_2025,0,Observed zero,1.8518518518518519,,0,1.8518518518518519,,2026-07-15,,Not observed,,,0,0,No PeeringDB IXP record (not proof of real-world absence),current_2021_2025,0,Observed zero,4.62962962962963,,0,,,53
v1.0,GQ,GNQ,Equatorial Guinea,1,0,0,current_2021_2025,0,Observed zero,1.8518518518518519,,0,1.8518518518518519,,2026-07-15,,Not observed,,,0,0,No PeeringDB IXP record (not proof of real-world absence),current_2021_2025,0,Observed zero,4.62962962962963,,0,,,54
v1.0,KM,COM,Comoros,1,0,0,current_2021_2025,0,Observed zero,1.8518518518518519,,0,1.8518518518518519,,2026-07-15,,Not observed,,,0,0,No PeeringDB IXP record (not proof of real-world absence),current_2021_2025,0,Observed zero,4.62962962962963,,0,,,55
