omitted_iso2,country,n_countries,n_dyads,coefficient,standardized_effect,ols_se,observed_t,permutation_p_two_sided_plus1,delta_coefficient_from_full,delta_standardized_effect_from_full,same_positive_sign_as_full,same_nonsignificant_5pct_decision_as_full,knowledge_degree_in_h2_sample,infrastructure_degree_in_h2_sample,fractional_ai_output_2021_2025,member_asns,coef_infrastructure,coef_shared_rec_count,coef_contiguous_border,coef_log_distance_capital_km,coef_common_official_language,coef_log_gdp_geometric_mean,coef_log_member_asn_geometric_mean,absolute_delta_standardized_effect,influence_rank
AO,Angola,37,666,0.027844819859149134,0.04021272423853424,0.02738719480149289,1.0167094534863168,0.2810718928107189,-0.0006946711902216796,-0.0014553025797515023,1,1,1,31,11.166666666666666,29,0.027844819859149134,-0.041716982767948024,0.28005028739267923,-0.17257153504764608,0.33750534674589355,0.11114439721109323,-0.01991059192678951,0.0014553025797515023,27
ZM,Zambia,37,666,0.02991954817645545,0.043084703312124224,0.02757118294206403,1.085174627411747,0.24437556244375563,0.0013800571270846385,0.0014166764938384827,1,1,11,32,89.39253663003663,12,0.02991954817645545,-0.03888765998339275,0.35769195081311983,-0.16163693481050725,0.3572263140471552,0.10010410675408736,-0.02105436406478232,0.0014166764938384827,28
GA,Gabon,37,666,0.02789351942459442,0.04061812209475698,0.027437328809689517,1.016626640955799,0.2772722727727227,-0.0006459716247763925,-0.001049904723528762,1,1,6,31,5.471428571428572,8,0.02789351942459442,-0.05711268488625057,0.17118450680887434,-0.18570992870273503,0.37093434619939725,0.10813978685994093,-0.02501637484737328,0.001049904723528762,29
CD,Democratic Republic of the Congo,37,666,0.02753748468037609,0.040747897279634994,0.027096929045359482,1.0162585079024686,0.270972902709729,-0.0010020063689947234,-0.0009201295386507477,1,1,10,32,59.775,30,0.02753748468037609,-0.037271617872671275,0.265475586304403,-0.14741421820824635,0.3606430194007417,0.11615688846801324,-0.025576617144419948,0.0009201295386507477,30
KE,Kenya,37,666,0.028144267223353475,0.0409276301292563,0.02723149747157647,1.033518896738225,0.2512748725127487,-0.00039522382601733796,-0.0007403966890294419,1,1,17,32,455.7142607392605,171,0.028144267223353475,-0.04834094455101176,0.25793640868381795,-0.16373151413405165,0.3573007127770993,0.10313812271347178,-0.019832935756221942,0.0007403966890294419,31
SL,Sierra Leone,37,666,0.0292804898396217,0.042286079401696326,0.027638134628363804,1.0594235187483463,0.25577442255774424,0.0007409987902508852,0.0006180525834105846,1,1,1,2,9.7,5,0.0292804898396217,-0.054839477377342266,0.2758765303240402,-0.16938209512699987,0.35877763008056046,0.10076278928892066,-0.025004771232839295,0.0006180525834105846,32
BJ,Benin,37,666,0.02872999116936706,0.04212968793383482,0.027381986844686047,1.0492296023779084,0.2608739126087391,0.00019050011999624528,0.00046166111554907935,1,1,12,31,52.65238095238095,5,0.02872999116936706,-0.04603652312116194,0.22039152010091398,-0.16403438689267383,0.3528421415140252,0.11456261396733486,-0.02305376247153249,0.00046166111554907935,33
TN,Tunisia,37,666,0.028615159989980654,0.04124789840175829,0.02769640689163308,1.0331722848361649,0.2608739126087391,7.566894060984097e-05,-0.0004201284165274502,1,1,13,32,1242.1093362193385,4,0.028615159989980654,-0.04818961778226674,0.2632619848372336,-0.17162808926758855,0.3569798196595261,0.10301021513854304,-0.0183429257039546,0.0004201284165274502,34
ET,Ethiopia,37,666,0.028404639521671576,0.04128668477919218,0.027399282133232596,1.036692836825078,0.26707329267073293,-0.0001348515276992368,-0.0003813420390935615,1,1,22,0,615.503603749192,3,0.028404639521671576,-0.045969869375838274,0.2899885944201542,-0.16500365428369737,0.3612267232660451,0.09733317353692632,-0.013422466661968203,0.0003813420390935615,35
NA,Namibia,37,666,0.02867431918119176,0.042048598246635996,0.027111038774824993,1.0576621360528027,0.2602739726027397,0.00013482813182094655,0.00038057142835025426,1,1,15,31,54.555952380952384,6,0.02867431918119176,-0.03627073321012278,0.31843014502596695,-0.14874132862999892,0.36322733763280796,0.10874752050747725,-0.016538760170869558,0.00038057142835025426,36
BI,Burundi,37,666,0.027560014110075498,0.04197793619152678,0.0257022708335045,1.072279344055052,0.25517448255174485,-0.000979476939295315,0.00030990937324103934,1,1,15,31,115.86834733893552,9,0.027560014110075498,-0.03650820361205101,0.21692034317971254,-0.18951536751651488,0.3209299935934321,0.1268822003571414,-0.027187130363778535,0.00030990937324103934,37
CG,Republic of the Congo,37,666,0.027822059630356333,0.04180801607089822,0.026782903338871476,1.0387992398858668,0.2605739426057394,-0.0007174314190144804,0.00013998925261247963,1,1,7,31,13.566666666666668,9,0.027822059630356333,-0.022238110524398308,0.20421728681871718,-0.14148313583097724,0.3546314498577422,0.10916577621153929,-0.014485322604097562,0.00013998925261247963,38
