model_id,model_role,n_countries,n_dyads,permutations,seed,predictor,predictor_label,coefficient,standard_error_ols,t_observed,standardized_effect,permutation_p_two_sided,permutation_p_two_sided_plus1,random_t_mean,random_t_sd
exclude_asns_ge50pct,sensitivity,38,703,10000,167939175,log_gdp_geometric_mean,Log GDP geometric mean,0.10542383409792216,0.028610435466576267,3.684803547330905,0.15392016412905063,0.0036,0.0036996300369963003,0.0025793464533524716,1.277131190828868
exclude_asns_ge50pct,sensitivity,38,703,10000,167939175,log_member_asn_geometric_mean,Log member-ASN geometric mean,-0.02081448257236168,0.030628542661361932,-0.6795779610702556,-0.03038941432184469,0.5396,0.5396460353964604,0.002613757443786954,1.0859870974494548
population_weighted_distance,sensitivity,38,703,10000,4250621874,infrastructure,Infrastructure co-presence,0.02981888423764456,0.02665510354466335,1.1186932434038372,0.04353595745474668,0.2344,0.23447655234476553,-0.01070481084358795,1.0056010488085316
population_weighted_distance,sensitivity,38,703,10000,4250621874,shared_rec_count,Shared REC count,-0.047014037276263354,0.04273849748029029,-1.1000395439251185,-0.04826249982680169,0.2957,0.2957704229577042,0.01805838684566563,1.0584174302489728
population_weighted_distance,sensitivity,38,703,10000,4250621874,contiguous_border,Contiguous border,0.3016358616184851,0.10185717816155257,2.961360868843918,0.12587912861542547,0.0031,0.0031996800319968005,-0.010520978132184583,1.0111352714184103
population_weighted_distance,sensitivity,38,703,10000,4250621874,log_distance_population_weighted_km,Log population-weighted distance,-0.14892431487485783,0.03448019537068544,-4.319126190377422,-0.21743142985155692,0.0003,0.00039996000399960006,-0.012808837761453244,1.1020366933321193
population_weighted_distance,sensitivity,38,703,10000,4250621874,common_official_language,Common official language,0.36290069924674373,0.047852058062670746,7.58380546081134,0.26465723096908195,0.0,9.999000099990002e-05,-0.01040995115713742,1.0577735898495655
population_weighted_distance,sensitivity,38,703,10000,4250621874,log_gdp_geometric_mean,Log GDP geometric mean,0.10473976157022857,0.02878402081527142,3.6388162113424642,0.15292140937269286,0.0022,0.0022997700229977,-0.020885274479784364,1.252561029415979
population_weighted_distance,sensitivity,38,703,10000,4250621874,log_member_asn_geometric_mean,Log member-ASN geometric mean,-0.01659589002631745,0.030833932678862783,-0.5382346196044668,-0.024230214529532113,0.6295,0.6295370462953704,-0.0010056415618826592,1.1056640936956963
exclude_ambiguous_ixps,sensitivity,37,666,10000,1541189490,infrastructure,Infrastructure co-presence,0.02906257544275248,0.027636350246424777,1.0516068577656057,0.04197137341353641,0.2638,0.2638736126387361,0.008679992306108966,1.0094136837743304
exclude_ambiguous_ixps,sensitivity,37,666,10000,1541189490,shared_rec_count,Shared REC count,-0.05487692031569663,0.042312044427089725,-1.2969574280500238,-0.055185172836950784,0.216,0.21607839216078392,-0.0048423633327504614,1.0491359449038486
exclude_ambiguous_ixps,sensitivity,37,666,10000,1541189490,contiguous_border,Contiguous border,0.275971192023761,0.10434339096491642,2.6448363377087425,0.11589086632411573,0.0084,0.0084991500849915,-0.007389945819441446,0.9951350594308159
